depth,backend,batch,images,repeats,process_total_median_s,process_total_min_s,process_total_max_s,process_images_per_s,folder_median_s,folder_images_per_s
3,pytorch,1,100,3,2.807116430980386,2.6847442440048326,3.4928405999962706,35.623745027588676,0.7088844090176281,141.0667222016915
3,tensorrt,1,100,3,2.4792692080081906,2.4142163359792903,2.488480239000637,40.33446617131932,0.48237015202175826,207.30967614988188
3,tensorrt,8,100,3,2.463853925000876,2.3737537909764796,2.5787774679774884,40.58682172075783,0.4425705510075204,225.9526752793381
6,pytorch,1,100,3,2.795234202989377,2.763884751009755,2.810811821022071,35.77517758370819,0.7469824319996405,133.87195697802986
6,tensorrt,1,100,3,2.5651779690233525,2.4397253249771893,2.5883064630033914,38.98364994849589,0.5148365839850157,194.23639094557913
6,tensorrt,8,100,3,2.490622865007026,2.45301039898186,2.70305388700217,40.150599034879534,0.4457401330000721,224.3459643782711
10,pytorch,1,100,3,2.8852857620222494,2.8644562429981306,2.986644818010973,34.65861209182679,0.8297673310153186,120.5157111664521
10,tensorrt,1,100,3,5.118288316007238,2.665985569008626,6.002678540011402,19.53778173989419,1.097916360013187,91.08161936743424
10,tensorrt,8,100,3,5.203906860988354,4.716974236012902,5.283032847975846,19.21633162762015,1.1163768529950175,89.57548674689899
13,pytorch,1,100,3,5.33125754998764,5.303421378019266,6.0510837890033145,18.757300517254478,1.3726967120019253,72.8493039472362
13,tensorrt,1,100,3,4.969985837989952,4.642250881996006,7.103441837010905,20.120781680223807,1.123590900999261,89.00036473334325
13,tensorrt,8,100,3,4.943897935008863,4.805400656012353,5.6304574009845965,20.22695478639988,1.1333549789851531,88.23360893472547
16,pytorch,1,100,3,5.318314128002385,5.260713519004639,6.422301563026849,18.80295100913136,1.5074501130147837,66.33718697331066
16,tensorrt,1,100,3,7.532688995008357,4.740721370006213,10.981928718014387,13.275471756004585,3.9122570070030633,25.56069292508055
16,tensorrt,8,100,3,5.03487474101712,4.574682809994556,5.57047645500279,19.861467294377714,1.0778386809979565,92.77826242737116
