id,checkpoint,depth,params,n,psnr,ssim,lpips
control-frontier,/workspace/kla2/runs/mx120-s0-control/best_frontier.pt,3,1346360,297,22.767845302338237,0.504353202703826,0.44324241508337786
control-frontier,/workspace/kla2/runs/mx120-s0-control/best_frontier.pt,6,1346360,297,23.009451108736386,0.5181271314922006,0.4120552557887453
control-frontier,/workspace/kla2/runs/mx120-s0-control/best_frontier.pt,10,1346360,297,23.306368128637132,0.5400465417791296,0.34290147944030536
control-frontier,/workspace/kla2/runs/mx120-s0-control/best_frontier.pt,13,1346360,297,23.58316924484651,0.5673965951208314,0.2683794870470911
control-frontier,/workspace/kla2/runs/mx120-s0-control/best_frontier.pt,16,1346360,297,23.777755039127555,0.6180482924185217,0.17762239617279885
adapter-frontier,/workspace/kla2/runs/mx120-s0-adapter/best_frontier.pt,3,1357808,297,23.52189322750154,0.5874554778791036,0.3834766352969388
adapter-frontier,/workspace/kla2/runs/mx120-s0-adapter/best_frontier.pt,6,1357808,297,23.653029794171598,0.5958969878026532,0.37231430052607145
adapter-frontier,/workspace/kla2/runs/mx120-s0-adapter/best_frontier.pt,10,1357808,297,23.76573567777786,0.6066513120726704,0.35351911320128426
adapter-frontier,/workspace/kla2/runs/mx120-s0-adapter/best_frontier.pt,13,1357808,297,23.82691002489555,0.612771932324175,0.3323654012397082
adapter-frontier,/workspace/kla2/runs/mx120-s0-adapter/best_frontier.pt,16,1357808,297,23.852008328970896,0.6206269484979136,0.18340980108538862
shared-frontier,/workspace/kla2/runs/mx120-s0-shared/best_frontier.pt,3,1346360,297,23.56244618721905,0.5862670782138202,0.3851411386772438
shared-frontier,/workspace/kla2/runs/mx120-s0-shared/best_frontier.pt,6,1346360,297,23.65254985738969,0.5961757748315631,0.36941735085212823
shared-frontier,/workspace/kla2/runs/mx120-s0-shared/best_frontier.pt,10,1346360,297,23.756884734957524,0.6080880458106096,0.349850864472614
shared-frontier,/workspace/kla2/runs/mx120-s0-shared/best_frontier.pt,13,1346360,297,23.807545488445342,0.614804780443108,0.3212722945042732
shared-frontier,/workspace/kla2/runs/mx120-s0-shared/best_frontier.pt,16,1346360,297,23.825089809466157,0.6221931019816735,0.17757986731802172
shared-full,/workspace/kla2/runs/mx120-s0-shared/best_full.pt,3,1346360,297,23.501489915477077,0.5872895185293172,0.37887665789938135
shared-full,/workspace/kla2/runs/mx120-s0-shared/best_full.pt,6,1346360,297,23.643745841851707,0.5972030249609289,0.3654679808552418
shared-full,/workspace/kla2/runs/mx120-s0-shared/best_full.pt,10,1346360,297,23.750085709640324,0.6084243763576854,0.34760972064753576
shared-full,/workspace/kla2/runs/mx120-s0-shared/best_full.pt,13,1346360,297,23.821278341901053,0.6143413338596974,0.32148413292386313
shared-full,/workspace/kla2/runs/mx120-s0-shared/best_full.pt,16,1346360,297,23.85058827437106,0.6216648303298437,0.17993963450845646
adapter-full,/workspace/kla2/runs/mx120-s0-adapter/best_full.pt,3,1357808,297,23.52189322750154,0.5874554778791036,0.3834766352969388
adapter-full,/workspace/kla2/runs/mx120-s0-adapter/best_full.pt,6,1357808,297,23.653029794171598,0.5958969878026532,0.37231430052607145
adapter-full,/workspace/kla2/runs/mx120-s0-adapter/best_full.pt,10,1357808,297,23.76573567777786,0.6066513120726704,0.35351911320128426
adapter-full,/workspace/kla2/runs/mx120-s0-adapter/best_full.pt,13,1357808,297,23.82691002489555,0.612771932324175,0.3323654012397082
adapter-full,/workspace/kla2/runs/mx120-s0-adapter/best_full.pt,16,1357808,297,23.852008328970896,0.6206269484979136,0.18340980108538862
control-full,/workspace/kla2/runs/mx120-s0-control/best_full.pt,3,1346360,297,22.73895899765069,0.5004803180594235,0.4544052375286115
control-full,/workspace/kla2/runs/mx120-s0-control/best_full.pt,6,1346360,297,22.945602097829017,0.5125723380332041,0.4246059204592849
control-full,/workspace/kla2/runs/mx120-s0-control/best_full.pt,10,1346360,297,23.249185054584416,0.5344823408207107,0.3573978647890717
control-full,/workspace/kla2/runs/mx120-s0-control/best_full.pt,13,1346360,297,23.543678481211938,0.5628658480917164,0.2804765469999827
control-full,/workspace/kla2/runs/mx120-s0-control/best_full.pt,16,1346360,297,23.840598792106217,0.6223837046912222,0.17869871055788866
