requested_backend,backend,depth,size,n,fallback_count,psnr,ssim,lpips
pytorch,pytorch_cuda,3,128,100,0,23.162421433132533,0.5640766769647598,0.41412662848830223
pytorch,pytorch_cuda,6,128,100,0,23.257345991064035,0.5761813187599182,0.3935067531466484
pytorch,pytorch_cuda,10,128,100,0,23.33512738960803,0.589484229683876,0.3647655910253525
pytorch,pytorch_cuda,13,128,100,0,23.367621053896986,0.5961866208910942,0.3293223145604134
pytorch,pytorch_cuda,16,128,100,0,23.385189738762257,0.6050688305497169,0.17962737053632735
tensorrt,tensorrt,3,128,100,0,23.162583791158877,0.5640706744790077,0.41414129734039307
tensorrt,tensorrt,6,128,100,0,23.257516125006724,0.5761720237135887,0.39350183069705963
tensorrt,tensorrt,10,128,100,0,23.335403634480457,0.5894727620482445,0.3647970300912857
tensorrt,tensorrt,13,128,100,0,23.367852363233688,0.5961775863170624,0.32935649901628494
tensorrt,tensorrt,16,128,100,0,23.385378353687834,0.6050607752799988,0.17965098835527896
