depth,backend,served,t_median,t_min,t_max,t_std,t_mad,t_all,t_cold,reps_used,reps_total,imgs,ms_per_img,img_per_s,psnr,ssim,lpips_batchmean_BIASED
3,trt,TensorRT,1.5126,1.4853,1.5435,0.024,0.0361,"[1.6266, 1.508, 1.5406, 1.537, 1.5126, 1.4892, 1.4918, 1.4853, 1.5435]",1.6266,7,9,297,5.0929,196.35,22.7333,0.50011,0.44905
3,torch,PyTorch,2.364,2.2097,2.3994,0.0731,0.0525,"[2.2702, 2.4258, 2.2233, 2.378, 2.2097, 2.3994, 2.2852, 2.3757, 2.364]",2.2702,7,9,297,7.9596,125.63,22.7333,0.50011,0.44905
6,trt,TensorRT,1.6138,1.5757,2.5872,0.3422,0.0295,"[1.5774, 1.6093, 1.6219, 1.6068, 1.6138, 1.6577, 2.5872, 1.5757, 1.5939]",1.5774,7,9,297,5.4336,184.04,22.9747,0.51318,0.41995
6,torch,PyTorch,2.3321,2.2774,2.4271,0.0432,0.0302,"[2.2818, 2.302, 2.3321, 2.4271, 2.346, 2.3053, 2.3525, 2.2774, 2.3289]",2.2818,7,9,297,7.8521,127.35,22.9746,0.51318,0.41994
10,trt,TensorRT,1.8006,1.7638,2.1588,0.1671,0.0252,"[1.7612, 1.7587, 1.804, 2.1578, 1.7836, 1.795, 1.7638, 2.1588, 1.8006]",1.7612,7,9,297,6.0627,164.94,23.287,0.53613,0.3491
10,torch,PyTorch,2.4141,2.3432,3.0177,0.2184,0.0679,"[2.4593, 2.4957, 2.4494, 3.0177, 2.5088, 2.3683, 2.3814, 2.4141, 2.3432]",2.4593,7,9,297,8.1284,123.03,23.287,0.53613,0.3491
13,trt,TensorRT,1.9157,1.8606,1.9998,0.04,0.0341,"[1.925, 2.4542, 1.9161, 1.9157, 1.8902, 1.9998, 1.9152, 1.8606, 1.9387]",1.925,7,9,297,6.4501,155.04,23.5804,0.5655,0.27304
13,torch,PyTorch,2.4694,2.4259,2.658,0.0718,0.0429,"[2.7835, 2.4286, 2.4694, 2.5052, 2.4846, 2.4405, 2.658, 2.4648, 2.4259]",2.7835,7,9,297,8.3146,120.27,23.5803,0.56549,0.27304
16,trt,TensorRT,2.0457,2.017,2.1628,0.0454,0.0324,"[2.8364, 2.0898, 2.0391, 2.0683, 2.0457, 2.0622, 2.017, 2.0239, 2.1628]",2.8364,7,9,297,6.8879,145.18,23.8296,0.62104,0.17935
16,torch,PyTorch,2.5858,2.4394,3.0563,0.1844,0.0634,"[2.6979, 2.7522, 2.5974, 2.5087, 2.6285, 2.582, 2.5858, 2.4394, 3.0563]",2.6979,7,9,297,8.7063,114.86,23.8297,0.62103,0.17935
