phase,key,label,params,median_s,best_s,spread_s,delta_vs_shipped_s,psnr,ssim,lpips,reps,n_images
A,cap-ch12nb4,cap-ch12nb4 (40ep),17449,3.637,3.26,7.714,-1.055,23.2667,0.59695,0.36884,5,297
A,cap-ch16nb4,cap-ch16nb4 (40ep),30753,3.407,3.011,5.962,-1.285,23.3002,0.5996,0.37273,5,297
A,cap-ch16nb8,cap-ch16nb8 (40ep),49313,3.469,3.023,6.703,-1.223,23.3615,0.6025,0.37339,5,297
A,cap-ch24nb8,cap-ch24nb8 (40ep),110257,5.042,3.31,6.191,0.35,23.3944,0.60593,0.3679,5,297
A,cap-ch32nb8,cap-ch32nb8 (40ep),195393,4.993,3.463,6.294,0.301,23.4607,0.60876,0.36949,5,297
A,cap-ch32nb16,cap-ch32nb16 (40ep),343361,4.089,3.766,6.838,-0.603,23.5077,0.61183,0.35657,5,297
A,cap-ch64nb16,cap-ch64nb16 (40ep),1368705,5.169,4.484,8.966,0.477,23.6527,0.62193,0.35019,5,297
A,SHIPPED,SHIPPED pr50-w50-lp05-120,1368705,4.692,4.415,7.17,0.0,23.632,0.60791,0.19287,5,297
B,batch64,shipped + --batch 64,1368705,4.737,4.314,8.72,0.045,23.632,0.60791,0.19287,5,297
B,batch128,shipped + --batch 128,1368705,4.803,4.382,8.608,0.111,23.632,0.60791,0.19287,5,297
B,batch256,shipped + --batch 256*,1368705,6.158,5.657,9.602,1.466,23.632,0.60791,0.19287,5,297
B,lazy,shipped + CUDA_MODULE_LOADING=LAZY,1368705,4.81,4.59,8.241,0.118,23.632,0.60791,0.19287,5,297
B,cudnn,shipped + cudnn.benchmark=True,1368705,7.661,7.042,15.907,2.969,23.632,0.60791,0.19288,5,297
B,allthree,shipped + all three levers,1368705,7.904,7.641,15.507,3.212,23.632,0.60791,0.19288,5,297
C,floor-ch16nb8,cap-ch16nb8 + all three levers,49313,6.637,6.424,12.212,1.945,23.3615,0.6025,0.37338,5,297
C,floor-ch16nb4,cap-ch16nb4 + all three levers,30753,6.49,6.336,14.07,1.798,23.3002,0.5996,0.37273,5,297
